country,Fully_Vaccinated,MR,CFR
Yemen,2.258396185349435,0.0640717232937246,18.07450816241105
Sudan,17.71310870372188,0.106689820839609,7.847783444488035
Syria,10.201402542851284,0.14300408555983252,5.508260650058321
Somalia,37.10643575215309,0.0773404961657071,4.983522519223728
Peru,83.56930486207351,6.418697342240969,4.8826629652491675
Egypt,36.17413124861159,0.22348840927212102,4.810480078348476
Mexico,64.8237241275027,2.600739489829819,4.532938078757655
"Bosnia and Herzegovina",26.165831150476414,5.023611965870117,4.048530525979982
Afghanistan,26.48877773447746,0.19110709164863954,3.7782285587932742
Liberia,70.3598928091214,0.05544355789231503,3.6553524804177546
Ecuador,78.99926348544375,1.9965555250757707,3.4306201461593093
Niger,20.25365402036677,0.012019239024202627,3.313696612665685
Malawi,19.246418997243758,0.14192378673049838,3.274314270854533
Macao,91.99128283322305,0.16398630570499725,3.2139836481533695
Myanmar,50.84104611738148,0.3597314044888573,3.075214152612039
Gambia,16.78676420318589,0.13747253782804478,2.955665024630542
Bulgaria,30.59946578825722,5.625811436377859,2.947156041538571
"North Macedonia",40.03064568978117,4.601152270293455,2.7817162724482163
Tunisia,51.7838210648071,2.370566932197788,2.5465629529036695
Algeria,14.433675013297483,0.15324065343364623,2.536344066996933
Chad,20.453778616547517,0.010946035368558652,2.535616259312508
Haiti,2.056503567586474,0.07423390395324024,2.531720097736171
"South Africa",35.12678690198151,1.7124953860063576,2.5306761332626695
"Sri Lanka",67.57386240017588,0.7706066512001796,2.5036832001428637
Paraguay,52.16364868462093,2.9120693965043665,2.467747196508711
Namibia,20.570551736173872,1.590557782085403,2.39477759009009
Indonesia,63.44772895191393,0.5835035055219185,2.3897106097853027
Honduras,55.2598818080338,1.0637545339925072,2.3626640324956782
"Trinidad and Tobago",46.82415843317268,2.8144212801338693,2.3017670562594814
Jamaica,26.37188749167958,1.2294058602622497,2.2697740020764905
Mali,11.831134642654083,0.032885421790721424,2.267179299401928
Colombia,71.17239093135393,2.7390392741431224,2.238138503889826
Senegal,8.24927069355778,0.11480411807222403,2.236220472440945
Bahamas,40.399376568639646,2.0317618277563545,2.2218665813128484
Hungary,62.276107962594494,4.878851894153123,2.219286235852501
Cambodia,87.13064661655211,0.18225352789692612,2.2038249632215074
Zimbabwe,29.112212531706216,0.34539300448349164,2.168235371046346
Uganda,27.432833911694637,0.07682606671617961,2.1317954650896467
"Low income",21.733104674331745,0.06497652062777783,2.106377629950495
"El Salvador",68.56086735781697,0.6675722291846481,2.0962906063384295
Ukraine,38.168542419698234,2.993848330692979,2.0952245640185665
Madagascar,6.836384839272075,0.04788644819594729,2.0918156605888947
Lesotho,40.15810386386484,0.31355358123292915,2.0781833860304686
Africa,27.952922710932825,0.1805133459622562,2.062449343683125
Romania,41.277061660987414,3.433698199373629,2.0334490071332176
Moldova,32.84663303587878,3.6501758482221014,1.9991700106091388
"South America",76.82678870419231,3.077485509659305,1.99489798840882
Tanzania,44.689901723649996,0.012916473835621107,1.989184105337409
Guinea-Bissau,19.197940709923156,0.08358742009327597,1.9671398234044932
Armenia,35.454663812475005,3.1350792239590977,1.9544492475471291
Pakistan,55.70615870258702,0.12992692746766515,1.9440070146676092
Eswatini,40.8322515145463,1.183343319352906,1.9193909780525333
Iran,66.09516948553058,1.6344107470886016,1.9136326626028461
Brazil,81.42528069210188,3.2307077218900306,1.8965536796546711
Bolivia,50.39698582653925,1.827289896020276,1.8908012944501678
Poland,56.78609084484327,2.9772830687517398,1.861644423812846
Angola,23.340540429968858,0.054230245775969625,1.8364337028402875
"Burkina Faso",14.711950781528818,0.01746511959813995,1.7979568671963677
Russia,54.61740589559584,2.6714059311972624,1.7929304219370223
Comoros,47.45316288691333,0.19240352636227076,1.7904804270462635
Guyana,47.00201674978083,1.5988089924041118,1.7780528052805282
"Upper middle income",78.6772953694163,0.99673532979828,1.751133601963248
Suriname,38.48888270452361,2.2619675558129977,1.7044623262618872
Kenya,20.109063379668022,0.10527974983991481,1.6595331250164116
Guatemala,39.47611493756359,1.1243609445775182,1.6442346068645954
"Sierra Leone",42.34420512953996,0.014641419436809668,1.6237113402061858
Philippines,63.98240715254323,0.5679955300412409,1.6123014099930408
"Antigua and Barbuda",66.5273215885339,1.556967964850915,1.6033384581594552
Cameroon,11.147028670576073,0.07039341716586286,1.5847668820014034
Nicaragua,85.79103519589776,0.035259941324579276,1.5764751303004956
Mauritania,32.45883889559148,0.21050871320267578,1.5660341794420707
"Democratic Republic of Congo",6.8241149983957206,0.014776252987873495,1.534411511757179
Congo,10.955978045132428,0.06465195974159316,1.5211822660098522
Ethiopia,29.751481942832715,0.06137140880808425,1.5167418494154976
Kyrgyzstan,20.58003315224924,0.4510889703996051,1.4478091660696653
Bangladesh,76.631255474735,0.1719821522237098,1.4450286860845616
"Papua New Guinea",3.0634771570476085,0.06595925610973491,1.4336840751773354
Croatia,55.844625332569464,4.413996661837488,1.404382399354568
"Lower middle income",58.00159366111212,0.3917852212406682,1.3853113122841745
"Saint Lucia",30.56117683686177,2.273839174524106,1.3742817781660561
Argentina,76.46163318898806,2.863921601612856,1.3002470547216483
"North America",65.52189163519839,2.603510592620207,1.2974033786449302
"Saint Vincent and the Grenadines",30.385055646937737,1.1831587452745793,1.2849979105725031
Fiji,68.9061476560307,0.9496982583846095,1.2835608274097656
Morocco,62.78222827629555,0.43504753166588606,1.2810152533259547
Kazakhstan,54.79463911688206,0.9827818314034262,1.2745309092464998
Libya,18.14503201834787,0.944902371342375,1.2692297075073251
Chile,90.27691456363216,3.242086100322918,1.247707553070318
